Nils Gustaf Dalén	award	Nobel Prize in Physics
Electronic Arts	subsidiary	Westwood Studios
John F. Kennedy	deathPlace	Dallas
Shmuel Yosef Agnon	award	Nobel Prize in Literature
The Right Stuff (film)	starring	Harry Shearer
Avril Lavigne	birthPlace	Belleville, Ontario
Poppy Montgomery	spouse	Adam Kaufman
Yasunari Kawabata	award	Nobel Prize in Literature
A Hard Day's Night (film)	starring	Wilfrid Brambell
Martin Scorsese	birthPlace	Queens
Angela Carter	author	The Passion of New Eve
Herbert A. Hauptman	award	Nobel Prize in Chemistry
Oracle Corporation	subsidiary	Sunopsis
Love Actually	starring	Martine McCutcheon
Stevie Wonder	birthPlace	Saginaw, Michigan
Antoine Henri Becquerel	award	Nobel Prize in Physics
Edward Scissorhands	starring	Dianne Wiest
Ali Landry	spouse	Mario López
Verner von Heidenstam	award	Nobel Prize in Literature
Amy Spanger	spouse	Michael C. Hall
Halldór Laxness	award	Nobel Prize in Literature
William Gibson	author	Neuromancer
Mad Max	starring	Tim Burns
Stephen King	author	Carrie
Rodman Philbrick	author	The Last Book in the Universe
Arno Allan Penzias	award	Nobel Prize in Physics
Chris Kaman	team	Dallas Mavericks
Seven (film)	starring	Brad Pitt
Walter M. Miller, Jr.	author	A Canticle for Leibowitz
Patricio Borghetti	spouse	Grettell Valdéz
David Brin	author	The Postman
Monta Ellis	team	Golden State Warriors
Tunku Abdul Rahman	office	Malaysia
Garth Nix	author	Castle
Nazr Mohammed	team	Oklahoma City Thunder
Abdul-Wahab Mirjan	office	Iraq
Kurt Vonnegut	author	Slaughterhouse-Five
Shaun Livingston	team	Oklahoma City Thunder
Jo Cals	office	Netherlands
Michael Shea	author	Polyphemus
Rasheed Wallace	team	Atlanta Hawks
José Manuel Barroso	office	Portugal
Bloombase	foundationPlace	Shenzhen
Kalevi Sorsa	office	Finland
Salesforce.com	foundationPlace	California
Kwame Brown	team	Detroit Pistons
Jean Chrétien	office	Canada
José Ramos-Horta	office	East Timor
Anthony Quinn	deathPlace	Boston
Dileita Mohamed Dileita	office	Djibouti
Valve Corporation	foundationPlace	Kirkland
Delrina	foundationPlace	Toronto
Josip Broz Tito	deathPlace	Ljubljana
Nemetschek	foundationPlace	Munich
Emmylou Harris	birthPlace	Birmingham, Alabama
Menachem Begin	office	Israel
Chris Benoit	deathPlace	Fayetteville, Georgia
Arthur Conan Doyle	birthPlace	Edinburgh
Picnik	foundationPlace	Seattle
Hank Williams	deathPlace	Oak Hill, West Virginia
Brian Wilson	birthPlace	Inglewood, California
Oracle Corporation	subsidiary	Hyperion Solutions
William McKinley	deathPlace	Buffalo, New York
John Lennon	birthPlace	Liverpool
Ed Wood (film)	starring	Jeffrey Jones
David Lloyd George	birthPlace	Manchester
William Butler Yeats	award	Nobel Prize in Literature
Last Action Hero	starring	Tom Noonan
Ghostbusters II	starring	Ernie Hudson
George Bernard Shaw	birthPlace	Dublin
William Faulkner	award	Nobel Prize in Literature
Hugo Chávez	deathPlace	Caracas
2012 (film)	starring	Oliver Platt
Dr. Dre	birthPlace	Compton, California
Bing Crosby	birthPlace	Tacoma, Washington
Intergovernmental Panel on Climate Change	award	Nobel Peace Prize
The Walt Disney Company	subsidiary	Fox Kids
Kill Bill	starring	Daryl Hannah
François Mauriac	award	Nobel Prize in Literature
Superbad (film)	starring	Jonah Hill
Ricky Groves	spouse	Hannah Waterman
Juan Ramón Jiménez	award	Nobel Prize in Literature
Ghostbusters II	starring	Rick Moranis
The Aristocats	starring	Eva Gabor
Sebastian Koch	spouse	Carice van Houten
Gao Xingjian	award	Nobel Prize in Literature
Camp Rock	starring	Joe Jonas
Venus Williams	birthPlace	Lynwood, California
John Barnes	author	Orbital Resonance
Charles Glover Barkla	award	Nobel Prize in Physics
John Lucas III	team	Houston Rockets
Saul Williams	spouse	Persia White
Fritz Leiber	author	The Wanderer
Susan Lanier	spouse	Delaney Bramlett
Ian R. MacLeod	author	Voyages by Starlight
Kate Winslet	spouse	Sam Mendes
Shane Battier	team	Houston Rockets
David Gerrold	author	When Harlie Was One
Tyson Chandler	team	Chicago Bulls
Mike Dunleavy, Jr.	team	Indiana Pacers
José María Aznar	office	Spain
Orson Scott Card	author	Shadow of the Hegemon
Shawn Marion	team	Miami Heat
Robert Sheckley	author	Options
Bharrat Jagdeo	office	Guyana
Al Jefferson	team	Utah Jazz
Manuel Azaña	office	Spain
Derek Fisher	team	Golden State Warriors
Kakuei Tanaka	office	Japan
Interwoven	foundationPlace	Sunnyvale
Elton Brand	team	Los Angeles Clippers
Gordon Brown	office	United Kingdom
Charles Mingus	deathPlace	Cuernavaca
P. W. Botha	office	South Africa
Codemasters	foundationPlace	Warwickshire
Georges Pompidou	office	France
Helmi Technologies	foundationPlace	Oulu
John Lee Hooker	deathPlace	Los Altos, California
Olivia Newton-John	birthPlace	Cambridge
Condusiv Technologies	foundationPlace	Glendale
Rutherford B. Hayes	deathPlace	Fremont, Ohio
Heinrich Gustav Reichenbach	deathPlace	Hamburg
Cole Porter	birthPlace	Peru, Indiana
Financial Navigator	foundationPlace	Mountain View
Humphrey Bogart	deathPlace	Los Angeles
MailChannels	foundationPlace	Vancouver
GlaxoSmithKline	subsidiary	Corixa
Miles Davis	deathPlace	Santa Monica, California
The Right Stuff (film)	starring	Scott Glenn
Robert De Niro	birthPlace	New York City
Anatole France	award	Nobel Prize in Literature
Louis IX of France	deathPlace	Tunis
Woody Allen	birthPlace	The Bronx
Harry Martinson	award	Nobel Prize in Literature
Andrew Johnson	deathPlace	Elizabethton, Tennessee
High School Musical 2	starring	Vanessa Hudgens
Tony Blair	birthPlace	Edinburgh
Gabriel Lippmann	award	Nobel Prize in Physics
CA Inc.	subsidiary	Interlink Computer Sciences
Yoko Ono	birthPlace	Tokyo
Marc Anthony	spouse	Jennifer Lopez
André Gide	award	Nobel Prize in Literature
The Right Stuff (film)	starring	Barbara Hershey
Robert Rodriguez	spouse	Rose McGowan
Sinclair Lewis	award	Nobel Prize in Literature
A Hard Day's Night (film)	starring	Paul McCartney
Edward Bulwer-Lytton, 1st Baron Lytton	author	Vril
George Minot	award	Nobel Prize in Physiology or Medicine
Love Actually	starring	Hugh Grant
Jay-Z	birthPlace	New York City
Yevgeny Zamyatin	author	We
Jimmy Carter	award	Nobel Peace Prize
Jeffrey Dean Morgan	spouse	Mary-Louise Parker
J. M. Coetzee	award	Nobel Prize in Literature
Neal Stephenson	author	The Big U
Ashton Kutcher	spouse	Demi Moore
Philip K. Dick	author	Do Androids Dream of Electric Sheep?
Mad Max	starring	Hugh Keays-Byrne
Michael Swanwick	author	Jack Faust
Robert Silverberg	author	A Time of Changes
J. R. Smith	team	New Orleans Hornets
Roger Zelazny	author	Lord of Light
Steve Blake	team	Portland Trail Blazers
Harlan Ellison	author	Again, Dangerous Visions
Ben Gordon	team	Chicago Bulls
Gerald Green	team	Houston Rockets
Wilfried Martens	office	Belgium
Roger MacBride Allen	author	The War Machine
Nazr Mohammed	team	New York Knicks
Aimo Cajander	office	Finland
Gerald Wallace	team	Charlotte Bobcats
Barend Biesheuvel	office	Netherlands
Harold Wilson	office	United Kingdom
Andrei Kirilenko	team	Utah Jazz
Navigon	foundationPlace	Hamburg
Stjepan Mesić	office	Croatia
Critical Path, Inc.	foundationPlace	San Francisco
Tsutomu Hata	office	Japan
Acronis	foundationPlace	United States of America
Jan Peter Balkenende	office	Netherlands
Wilfrid Laurier	office	Canada
Corazon Aquino	deathPlace	Makati
Materialise NV	foundationPlace	Leuven
Chet Atkins	deathPlace	Nashville, Tennessee
Chiang Kai-shek	birthPlace	Fenghua
Hewlett-Packard	foundationPlace	Palo Alto, California
Robert F. Kennedy	deathPlace	Los Angeles
SCO Group	foundationPlace	Santa Cruz
Edward Scissorhands	starring	Alan Arkin
Michael Chang	birthPlace	Hoboken, New Jersey
Herman Melville	deathPlace	New York City
Mean Girls	starring	Tina Fey
Mark Woodforde	birthPlace	Adelaide
Hal Roach	deathPlace	Los Angeles
Mary J. Blige	birthPlace	The Bronx
Janet Jackson	birthPlace	Gary, Indiana
Walther Bothe	award	Nobel Prize in Physics
Hewlett-Packard	subsidiary	Snapfish
Herbert Hoover	deathPlace	New York City
Bob Dylan	birthPlace	Duluth, Minnesota
Clerks	starring	Kevin Smith
Beck	birthPlace	Los Angeles
Alexandre Pato	spouse	Sthefany Brito
Wisława Szymborska	award	Nobel Prize in Literature
Last Action Hero	starring	Bridgette Wilson
The Aristocats	starring	Sterling Holloway
H. P. Lovecraft	birthPlace	Providence, Rhode Island
Diether Ocampo	spouse	Kristine Hermosa
John Steinbeck	award	Nobel Prize in Literature
2012 (film)	starring	Amanda Peet
Neil Young	birthPlace	Toronto
Robert Andrews Millikan	award	Nobel Prize in Physics
eBay	subsidiary	PayPal
Stephen Dunham	spouse	Alexondra Lee
José Saramago	award	Nobel Prize in Literature
Shraddha Nigam	spouse	Karan Singh Grover
Theodor Mommsen	award	Nobel Prize in Literature
Alexander Jablokov	author	The Breath of Suspension
Om Shanti Om	starring	Shah Rukh Khan
Heath Ledger	spouse	Michelle Williams
Miguel Ángel Asturias	award	Nobel Prize in Literature
Deron Williams	team	Utah Jazz
Camp Rock	starring	Alyson Stoner
Mark Twain	author	A Connecticut Yankee in King Arthur's Court
Mike Miller (basketball player)	team	Minnesota Timberwolves
Eva Green	spouse	Marton Csokas
Kim Stanley Robinson	author	Fifty Degrees Below
Barry N. Malzberg	author	Beyond Apollo
Jigme Thinley	office	Bhutan
Jamal Crawford	team	Atlanta Hawks
Jean-Luc Dehaene	office	Belgium
Joe Haldeman	author	The Forever War
Raymond Felton	team	New York Knicks
Kyle Korver	team	Philadelphia 76ers
Adolphe Thiers	office	France
Frank Herbert	author	Heretics of Dune
Ray Allen	team	Boston Celtics
Louis Botha	office	South Africa
MokaFive	foundationPlace	California
Ionatana Ionatana	office	Tuvalu
Information Builders	foundationPlace	United States of America
Metta World Peace	team	Indiana Pacers
Yitzhak Shamir	office	Israel
IBM	foundationPlace	Endicott
Chauncey Billups	team	Detroit Pistons
IBM Internet Security Systems	foundationPlace	Atlanta
Burt Lancaster	deathPlace	Los Angeles
Digital Research	foundationPlace	Pacific Grove
Arthur Ashe	deathPlace	New York City
Intec Telecom Systems	foundationPlace	Woking
Edgar Allan Poe	deathPlace	Baltimore
Jerry Goldsmith	deathPlace	Beverly Hills, California
David Nalbandian	birthPlace	Unquillo
Serena Software	foundationPlace	California
Slobodan Milošević	deathPlace	The Hague
Otis Redding	deathPlace	Madison, Wisconsin
Nenad Zimonjić	birthPlace	Belgrade
Kurt Aland	deathPlace	Münster
Woodrow Wilson	birthPlace	Staunton, Virginia
Yahoo!	subsidiary	Zimbra
Harry S. Truman	deathPlace	Kansas City, Missouri
Albert Camus	award	Nobel Prize in Literature
The Right Stuff (film)	starring	Jeff Goldblum
Lou Reed	birthPlace	Brooklyn
Gabriela Mistral	award	Nobel Prize in Literature
John A. Macdonald	deathPlace	Ottawa
Austin Powers: The Spy Who Shagged Me	starring	Mike Myers (actor)
Robbie Williams	birthPlace	Stoke-on-Trent
Simon Clark	author	The Night of the Triffids
Carlos Filipe Ximenes Belo	award	Nobel Peace Prize
High School Musical 2	starring	Ashley Tisdale
Martina Navratilova	birthPlace	Prague
John William Strutt	award	Nobel Prize in Physics
Edward Scissorhands	starring	Kathy Baker
Ryan Phillippe	spouse	Abbie Cornish
Patrick White	award	Nobel Prize in Literature
Godzilla (1998 film)	starring	Kevin Dunn
Elsa Pataky	spouse	Adrien Brody
Paul Heyse	award	Nobel Prize in Literature
A Hard Day's Night (film)	starring	John Junkin
Ian Stewart	author	Wheelers
Michael F. Flynn	author	Fallen Angels
Herbert Spencer Gasser	award	Nobel Prize in Physiology or Medicine
Al Jefferson	team	Boston Celtics
Love Actually	starring	Alan Rickman
C. S. Lewis	author	Out of the Silent Planet
Aarón Díaz	spouse	Kate del Castillo
Kim Newman	author	Back in the USSA
Andrés Calamaro	spouse	Julieta Cardinali
Tony Allen (basketball)	team	Boston Celtics
Doris Lessing	author	The Sentimental Agents in the Volyen Empire
Kenyon Martin	team	Los Angeles Clippers
Elisabeth Domitien	office	Central African Republic
Mordecai Roshwald	author	Level 7
Shaun Livingston	team	Charlotte Bobcats
Ásgeir Ásgeirsson	office	Iceland
Gene Wolfe	author	The Urth of the New Sun
Rasheed Wallace	team	Boston Celtics
Ian Mahinmi	team	Dallas Mavericks
Keizō Obuchi	office	Japan
Abd Al-Rahman Al-Gillani	office	Iraq
RightNow Technologies	foundationPlace	Bozeman
Kwame Brown	team	Golden State Warriors
Ruud Lubbers	office	Netherlands
Anwar Sadat	office	Egypt
Gene Kelly	deathPlace	Beverly Hills, California
Pau Gasol	team	Memphis Grizzlies
impetus Technologies	foundationPlace	India
Vazgen Sargsyan	office	Armenia
Softpress	foundationPlace	Oxford
Attachmate	foundationPlace	Bellevue
Noam Chomsky	birthPlace	Philadelphia
Pierre Trudeau	office	Canada
Curtis Mayfield	deathPlace	Roswell, Georgia
John, King of England	birthPlace	Oxford
Techexcel	foundationPlace	Lafayette
James Monroe	deathPlace	New York City
Ozzy Osbourne	birthPlace	Birmingham
Xero	foundationPlace	New Zealand
Motorola	subsidiary	Terayon
Donna Summer	deathPlace	Naples, Florida
Ed Wood (film)	starring	Lisa Marie (actress)
Kofi Annan	birthPlace	Kumasi
John Galsworthy	award	Nobel Prize in Literature
Mean Girls	starring	Lacey Chabert
Victoria Azarenka	birthPlace	Minsk
Władysław Stanisław Reymont	award	Nobel Prize in Literature
Thelonious Monk	deathPlace	Englewood, New Jersey
2012 (film)	starring	Woody Harrelson
Frank Zappa	birthPlace	Baltimore
Justin Timberlake	birthPlace	Memphis, Tennessee
International Atomic Energy Agency	award	Nobel Peace Prize
Yahoo!	subsidiary	BlueLithium
Pierre Trudeau	deathPlace	Montreal
Kill Bill	starring	Gordon Liu
Derek Walcott	award	Nobel Prize in Literature
Superbad (film)	starring	Seth Rogen
Tamara Brooks	spouse	Theodore Bikel
Thomas Mann	award	Nobel Prize in Literature
Last Action Hero	starring	Anthony Quinn
The Aristocats	starring	Hermione Gingold
Raza Jaffrey	spouse	Miranda Raison
Giosuè Carducci	award	Nobel Prize in Literature
Camp Rock	starring	Maria Canals Barrera
Andy Roddick	birthPlace	Omaha, Nebraska
Thomas M. Disch	author	334
Johannes Stark	award	Nobel Prize in Physics
Shogo	spouse	Eriko Imai
Ivan Bunin	award	Nobel Prize in Literature
Jules Verne	author	The Begum's Fortune
Chelsea Handler	spouse	Ted Harbert
John Varley	author	Wizard
Austin Powers: The Spy Who Shagged Me	starring	Will Ferrell
Katie Holmes	spouse	Tom Cruise
Luis Scola	team	Houston Rockets
Kathy Tyers	author	The Truce at Bakura
Tyson Chandler	team	Charlotte Bobcats
Jason Terry	team	Boston Celtics
Stanisław Lem	author	Return from the Stars
Carlos Delfino	team	Detroit Pistons
William Tenn	author	Immodest Proposals
Baburam Bhattarai	office	Nepal
Samuel Dalembert	team	Sacramento Kings
Jacques Santer	office	Luxembourg
Jason Richardson	team	Charlotte Bobcats
Derek Fisher	team	Los Angeles Lakers
Alec Douglas-Home	office	United Kingdom
Elton Brand	team	Dallas Mavericks
John Sparrow David Thompson	office	Canada
Kurt Cobain	deathPlace	Seattle
Mahendra Chaudhry	office	Fiji
Day Software Inc	foundationPlace	Basel
Mikhail Kasyanov	office	Russia
GoldenSource	foundationPlace	New York City
Pierre Harmel	office	Belgium
Roald Dahl	deathPlace	Oxford
Pandemic Studios	foundationPlace	Santa Monica, California
Roscoe Arbuckle	deathPlace	New York City
Benjamin Harrison	deathPlace	Indianapolis
Mammootty	birthPlace	Chempu
Mindscape Group	foundationPlace	Novato
George Jones	deathPlace	Nashville, Tennessee
QlikTech	foundationPlace	Lund
Adobe Systems	subsidiary	Macromedia
Walt Disney	deathPlace	Burbank, California
Franklin Pierce	deathPlace	Concord, New Hampshire
Predator (film)	starring	Arnold Schwarzenegger
Johnny Mercer	birthPlace	Savannah, Georgia
Bo Diddley	deathPlace	Archer, Florida
Arthur Wellesley, 1st Duke of Wellington	birthPlace	Dublin
George Seferis	award	Nobel Prize in Literature
Akbar	deathPlace	Agra
Bruce Springsteen	birthPlace	Long Branch, New Jersey
Johannes Diderik van der Waals	award	Nobel Prize in Physics
Norfolk Southern Railway	subsidiary	Conrail
Franklin D. Roosevelt	deathPlace	Warm Springs, Georgia
Kris Aquino	spouse	James Yap
Czesław Miłosz	award	Nobel Prize in Literature
The Right Stuff (film)	starring	Ed Harris
Frank Lloyd Wright	birthPlace	Richland Center, Wisconsin
Isabella Leong	spouse	Richard Li
Sigrid Undset	award	Nobel Prize in Literature
A Hard Day's Night (film)	starring	The Beatles
Edwin Balmer	author	When Worlds Collide
François Jacob	award	Nobel Prize in Physiology or Medicine
Oracle Corporation	subsidiary	Portal Software
Love Actually	starring	Laura Linney
Jimmy Carter	birthPlace	Plains, Georgia
Wilhelm Röntgen	award	Nobel Prize in Physics
Tameka Foster	spouse	Usher (entertainer)
Roger Martin du Gard	award	Nobel Prize in Literature
Kevin Dilmore	author	Summon the Thunder
Nicholas Tse	spouse	Cecilia Cheung
Kenzaburō Ōe	award	Nobel Prize in Literature
Poul Anderson	author	The Boat of a Million Years
Mad Max	starring	Mel Gibson
Kate Wilhelm	author	Where Late the Sweet Birds Sang
Alfred Bester	author	The Demolished Man
Chris Kaman	team	Los Angeles Clippers
Kill Bill	starring	Uma Thurman
Carl Sagan	author	Contact
Jack Dann	author	Wandering Stars
Emeka Okafor	team	Charlotte Bobcats
Andrew Bynum	team	Los Angeles Lakers
Abdul Razak Hussein	office	Malaysia
Walter Jon Williams	author	Aristoi
Nazr Mohammed	team	Detroit Pistons
Naji Shawkat	office	Iraq
Edwin Abbott Abbott	author	Flatland: A Romance of Many Dimensions
Shaun Livingston	team	Los Angeles Clippers
Piet de Jong	office	Netherlands
Dwight Howard	team	Orlando Magic
Krstarica	foundationPlace	Belgrade
Abdullah Ahmad Badawi	office	Malaysia
Redxpress	foundationPlace	Portsmouth
Kaysone Phomvihane	office	Laos
Strategy First	foundationPlace	Montreal
Kwame Brown	team	Los Angeles Lakers
Golda Meir	office	Israel
Jacques Chirac	office	France
John Diefenbaker	deathPlace	Ottawa
Temenos Group	foundationPlace	Geneva
Harold Lloyd	deathPlace	Beverly Hills, California
Intuit Canada	foundationPlace	Edmonton
Count Basie	deathPlace	Hollywood, Florida
Six Apart	foundationPlace	San Francisco
Nelly Furtado	birthPlace	Victoria, British Columbia
Toshiki Kaifu	office	Japan
Robert Mitchum	deathPlace	Santa Barbara, California
Godzilla (1998 film)	starring	Harry Shearer
Stephen Harper	birthPlace	Toronto
Jefferson Davis	deathPlace	New Orleans
Clint Eastwood	birthPlace	San Francisco
Ray Charles	birthPlace	Albany, Georgia
BEA Systems	subsidiary	Plumtree Software
John Adams	deathPlace	Quincy, Massachusetts
Abraham Lincoln	birthPlace	Hodgenville, Kentucky
Clerks	starring	Marilyn Ghigliotti
Muhammad Ali	birthPlace	Louisville, Kentucky
Henryk Sienkiewicz	award	Nobel Prize in Literature
Last Action Hero	starring	F. Murray Abraham
Ghostbusters II	starring	Bill Murray
Billy Joel	birthPlace	New York City
Craig Conway	spouse	Jill Halfpenny
Vicente Aleixandre	award	Nobel Prize in Literature
2012 (film)	starring	Danny Glover
Stephen King	birthPlace	Portland, Maine
Usher (entertainer)	birthPlace	Dallas
James Franck	award	Nobel Prize in Physics
ABC Family Worldwide Inc.	subsidiary	Television South
Lina Romay	spouse	Jesús Franco
Luigi Pirandello	award	Nobel Prize in Literature
Predator (film)	starring	Kevin Peter Hall
Saul Williams	spouse	Persia White
Romain Rolland	award	Nobel Prize in Literature
Om Shanti Om	starring	Yuvika Chaudhary
Jemima Khan	spouse	Hugh Grant
Rudyard Kipling	award	Nobel Prize in Literature
Martell Webster	team	Minnesota Timberwolves
Camp Rock	starring	Demi Lovato
Gentry Lee	author	The Garden of Rama
Max von Laue	award	Nobel Prize in Physics
Mike Miller (basketball player)	team	Miami Heat
Will Arnett	spouse	Amy Poehler
H. G. Wells	author	The Wheels of Chance
Shanna Moakler	spouse	Travis Barker
S. Fowler Wright	author	The Throne of Saturn
Marvin Williams	team	Atlanta Hawks
Édith Cresson	office	France
Joan Slonczewski	author	A Door into Ocean
Raymond Felton	team	Portland Trail Blazers
Kyle Korver	team	Chicago Bulls
Benazir Bhutto	office	Pakistan
Larry Niven	author	The Integral Trees
Richard Jefferson	team	San Antonio Spurs
Brian Aldiss	author	Non-Stop
Pedro Pires	office	Cape Verde
Maria das Neves	office	São Tomé and Príncipe
JetBrains	foundationPlace	Czech Republic
Metta World Peace	team	Houston Rockets
Osachi Hamaguchi	office	Japan
SAP AG	foundationPlace	Mannheim
Chauncey Billups	team	New York Knicks
Ariel Sharon	office	Israel
Henry Wadsworth Longfellow	deathPlace	Cambridge, Massachusetts
Ryutaro Hashimoto	office	Japan
Audiokinetic	foundationPlace	Montreal
Team and Concepts	foundationPlace	Hong Kong
Tupac Shakur	deathPlace	Las Vegas
Billy Wilder	deathPlace	Beverly Hills, California
William McKinley	birthPlace	Niles, Ohio
SevOne	foundationPlace	Newark
Sarah Vaughan	deathPlace	Hidden Hills, California
L. Sprague de Camp	deathPlace	Plano, Texas
Jelena Janković	birthPlace	Belgrade
SIMULIA	foundationPlace	Providence, Rhode Island
Hermann Göring	deathPlace	Nuremberg
IBM	subsidiary	IBM Internet Security Systems
Johnny Cash	deathPlace	Nashville, Tennessee
Gerhart Hauptmann	award	Nobel Prize in Literature
The Right Stuff (film)	starring	Lance Henriksen
Dick Cheney	birthPlace	Lincoln, Nebraska
Heinrich Böll	award	Nobel Prize in Literature
Jonathan Swift	deathPlace	Dublin
Austin Powers: The Spy Who Shagged Me	starring	Robert Wagner
Cara Black	birthPlace	Harare
Svante Arrhenius	award	Nobel Prize in Chemistry
Elizabeth Taylor	deathPlace	Los Angeles
High School Musical 2	starring	Lucas Grabeel
Charles Dickens	birthPlace	Portsmouth
Joseph John Thomson	award	Nobel Prize in Physics
Ascend Communications	subsidiary	Cascade Communications
Nick Zano	spouse	Haylie Duff
William Golding	award	Nobel Prize in Literature
Godzilla (1998 film)	starring	Matthew Broderick
Howard K. Stern	spouse	Anna Nicole Smith
Dario Fo	award	Nobel Prize in Literature
A Hard Day's Night (film)	starring	Maggie d'Abo
Arthur Conan Doyle	author	The Poison Belt
Peter F. Hamilton	author	The Neutronium Alchemist
Robert Hofstadter	award	Nobel Prize in Physics
Love Actually	starring	Colin Firth
Robert Christgau	birthPlace	New York City
Robert Louis Stevenson	author	Strange Case of Dr Jekyll and Mr Hyde
Henry Dunant	award	Nobel Peace Prize
Christopher Knight	spouse	Adrianne Curry
Harry Turtledove	author	Worldwar: Upsetting the Balance
Emilia Fox	spouse	Jared Harris
Isaac Asimov	author	The Caves of Steel
Gregory Keyes	author	A Calculus of Angels
Russell Hoban	author	Riddley Walker
Zach Randolph	team	New York Knicks
Ira Levin	author	This Perfect Day
Shaun Livingston	team	Cleveland Cavaliers
Paul van Zeeland	office	Belgium
C. J. Cherryh	author	The Collected Short Fiction of C. J. Cherryh
Kevin Garnett	team	Boston Celtics
Gerald Green	team	Boston Celtics
Mário Soares	office	Portugal
John Lucas III	team	Chicago Bulls
Lauri Ingman	office	Finland
Tyler Hansbrough	team	Indiana Pacers
Jelle Zijlstra	office	Netherlands
Gamal Abdel Nasser	office	Egypt
Steve Jobs	deathPlace	Palo Alto, California
LeBron James	team	Cleveland Cavaliers
Nokia	foundationPlace	Nokia
Robert Bond	office	Dominion of Newfoundland
Oracle Corporation	foundationPlace	California
Kiichi Miyazawa	office	Japan
Blackbaud	foundationPlace	New York City
Saddam Hussein	office	Iraq
Errol Flynn	deathPlace	Vancouver
William Howard Taft	birthPlace	Cincinnati
Spokeo	foundationPlace	Mountain View
George Balanchine	deathPlace	New York City
Cher	birthPlace	El Centro, California
KickApps	foundationPlace	New York City
eBay	subsidiary	Billpoint
Ira Gershwin	deathPlace	Beverly Hills, California
NeXT	foundationPlace	California
Ed Wood (film)	starring	Patricia Arquette
Donna Summer	birthPlace	Boston
Mean Girls	starring	Lizzy Caplan
Björk	birthPlace	Reykjavík
Maurice Maeterlinck	award	Nobel Prize in Literature
Philip K. Dick	deathPlace	Santa Ana, California
Jana Novotná	birthPlace	Brno
James Brown	birthPlace	Barnwell, South Carolina
Karl von Frisch	award	Nobel Prize in Physiology or Medicine
Yahoo!	subsidiary	eGroups
Richard Rodgers	deathPlace	New York City
Kill Bill	starring	Lucy Liu
George W. Bush	birthPlace	New Haven, Connecticut
Clerks	starring	Jason Mewes
Kamal Haasan	birthPlace	Paramakudi
Heidi Klum	spouse	Seal
Toni Morrison	award	Nobel Prize in Literature
Last Action Hero	starring	Art Carney
The Aristocats	starring	Phil Harris
Zöe Salmon	spouse	Gerard McCarthy
Frans Eemil Sillanpää	award	Nobel Prize in Literature
Camp Rock	starring	Nick Jonas
Kylie Minogue	birthPlace	Melbourne
Albert Einstein	award	Nobel Prize in Physics
Pamela Anderson	spouse	Kid Rock
Jacinto Benavente	award	Nobel Prize in Literature
Mary Shelley	author	Frankenstein
Kim Kardashian	spouse	Kris Humphries
Michail Aleksandrovich Sholokhov	award	Nobel Prize in Literature
Iain Banks	author	Whit
Om Shanti Om	starring	Deepika Padukone
Jim Carrey	spouse	Jenny McCarthy
Channing Frye	team	New York Knicks
On the Waterfront	starring	Marlon Brando
Tony Rothman	author	The World Is Round
Andris Biedriņš	team	Golden State Warriors
Daniel Keyes	author	Flowers for Algernon
Carlos Delfino	team	Houston Rockets
Mary Rosenblum	author	Synthesis & Other Virtual Realities
Ahmed Ouyahia	office	Algeria
Jamal Crawford	team	New York Knicks
Poul Nyrup Rasmussen	office	Denmark
Terry Pratchett	author	Good Omens
Jason Richardson	team	Orlando Magic
Derek Fisher	team	Dallas Mavericks
Jean Casimir-Perier	office	France
Carlos Boozer	team	Utah Jazz
Josip Broz Tito	office	Yugoslavia
Zine El Abidine Ben Ali	office	Tunisia
Palm, Inc.	foundationPlace	United States of America
Mahathir Mohamad	office	Malaysia
Syntel Inc.	foundationPlace	Troy
Steve Blake	team	Portland Trail Blazers
Gaston Eyskens	office	Belgium
Microsoft	foundationPlace	Albuquerque
Futuremark	foundationPlace	Espoo
Kurt Vonnegut	deathPlace	New York City
Walt Whitman	deathPlace	Camden, New Jersey
Big Fish Games	foundationPlace	Seattle
Roy Orbison	deathPlace	Hendersonville, Tennessee
Kana	foundationPlace	California
John Wayne	deathPlace	Los Angeles
John C. Frémont	deathPlace	New York City
Predator (film)	starring	Carl Weathers
Mardy Fish	birthPlace	Edina, Minnesota
Robert Menzies	deathPlace	Melbourne
Adam Smith	deathPlace	Edinburgh
Pierre Trudeau	birthPlace	Montreal
Fred Astaire	deathPlace	Los Angeles
Jimi Hendrix	birthPlace	Seattle
