John Brunner	author	The Infinitive of Go
Ringo Starr	birthPlace	Liverpool
Than Shwe	office	Belgium
Godzilla (1998 film)	starring	Jean Reno
Jim Henson	deathPlace	New York City
Shirin Ebadi	award	Nobel Peace Prize
Heike Kamerlingh Onnes	award	Nobel Prize in Literature
Carlos Boozer	team	New Orleans Hornets
Philip K. Dick	author	Sirius
Camp Rock	starring	Meaghan Jette Martin
Mean Girls	starring	Amanda Seyfried
Charles Édouard Guillaume	award	Nobel Prize in Physics
Charles Maurice de Talleyrand-Périgord	office	France
Nelly Sachs	award	Nobel Prize in Literature
Susannah Harker	spouse	Christel Khalil
Ghostbusters II	starring	Robert Prosky
Navigon	foundationPlace	Colorado Springs
Jerry Pournelle	author	1634: The Ram Rebellion
Ivo Andrić	award	Nobel Prize in Literature
Lleyton Hewitt	birthPlace	Adelaide
Stardock	foundationPlace	Livonia
Paul Biya	office	Cameroon
Hendrik Lorentz	award	Nobel Prize in Physics
Backbone Entertainment	foundationPlace	Vancouver
The Right Stuff (film)	starring	Corbin Bleu
Warren G. Harding	deathPlace	San Francisco
Ben Gordon	team	Philadelphia 76ers
Laisenia Qarase	office	Yemen
George Minot	award	Nobel Prize in Physics
Abdul Qadir Bajamal	office	Lithuania
The Aristocats	starring	Dean Clark (actor)
Benjamin Franklin	deathPlace	Philadelphia
Barry B. Longyear	author	Sea of Glass
Kaspersky Lab	foundationPlace	Moscow
Austin Powers: The Spy Who Shagged Me	starring	Heather Graham
Bill Ransom	author	Broken Angels
Rogue Wave Software	foundationPlace	Melbourne
Douglas Adams	deathPlace	Santa Barbara, California
S3 Group	foundationPlace	Dublin
Gerald Wallace	team	San Antonio Spurs
Raymond Poincaré	office	Japan
Zauber S.A.	foundationPlace	Buenos Aires
Camp Rock	starring	Jasmine Richards
Pablo Neruda	award	Nobel Prize in Literature
Tyson Chandler	team	Dallas Mavericks
Dayton Ward	author	Summon the Thunder
Brian McFadden	spouse	Kelly McGillis
J. G. Ballard	author	Castle Roogna
2012 (film)	starring	Gary Dubin
2012 (film)	starring	Chiwetel Ejiofor
Gregory Benford	author	A Deepness in the Sky
Ian Stewart	author	The Infinitive of Go
Kevin Garnett	team	Toronto Raptors
Oscar Wilde	birthPlace	Dublin
Penn Central Transportation Company	subsidiary	New York, New Haven and Hartford Railroad
Frédéric Passy	award	Nobel Prize in Literature
Russell Hoban	author	Amnesia Moon
Andrew Jackson	deathPlace	Nashville, Tennessee
Paul Simon	birthPlace	Newark, New Jersey
Frank Sinatra	birthPlace	Hoboken, New Jersey
William Henry Bragg	award	Nobel Prize in Physics
OpenLink Software	foundationPlace	England
Gerald Wallace	team	Sacramento Kings
Camp Rock	starring	Anthony Michael Hall
John Adams	deathPlace	Mississauga
Francisco Franco	office	Finland
Keizō Obuchi	office	Netherlands
Humphrey Bogart	deathPlace	San Francisco
M. G. Ramachandran	deathPlace	Chennai
Ahmed Zewail	award	Nobel Prize in Chemistry
Walt Whitman	deathPlace	Lancaster, Pennsylvania
Superbad (film)	starring	Michael Cera
Krstarica	foundationPlace	Menlo Park
Julius Axelrod	award	Nobel Prize in Literature
Temenos Group	foundationPlace	Kettering
Last Action Hero	starring	Arnold Schwarzenegger
Mary Doria Russell	author	The Sparrow
Danger	foundationPlace	Palo Alto
Johnny Cash	birthPlace	Kingsland, Arkansas
Samantha Stosur	birthPlace	Brisbane
Scarlett Johansson	spouse	Ryan Reynolds
Beck	birthPlace	Königsberg
Saul Williams	spouse	Preity Zinta
Om Shanti Om	starring	Michael Cera
Hiroko Hatano	spouse	Michael Welch
John Lennon	deathPlace	Los Angeles
Tony Rothman	author	Darwin's Radio
Heike Kamerlingh Onnes	award	Nobel Prize in Physics
G Data	foundationPlace	Bochum
Eugenio Montale	award	Nobel Prize in Literature
A Hard Day's Night (film)	starring	Liz English
The Right Stuff (film)	starring	Jane Dornacker
Maria das Neves	office	France
Codemasters	foundationPlace	Moscow
Carlos Delfino	team	Charlotte Bobcats
James Franck	award	Nobel Prize in Literature
Shaquille O'Neal	birthPlace	Norfolk, Virginia
Andrew Huxley	award	Nobel Prize in Physiology or Medicine
Svante Arrhenius	award	Nobel Prize in Literature
Kwame Brown	team	Charlotte Bobcats
Chris Kaman	team	New Orleans Hornets
Joaquim Rafael Branco	office	Finland
Bob Dylan	birthPlace	Houston
J. M. Coetzee	award	Nobel Prize in Physics
Samuel R. Delany	author	Nova
Ed Wood (film)	starring	Bill Murray
Pervasive Software	foundationPlace	Texas
Thomas Mann	award	Nobel Prize in Physics
Zach Randolph	team	Los Angeles Clippers
Rihanna	spouse	Chris Brown
Billy Preston	deathPlace	Scottsdale, Arizona
Steven Barnes	author	Beowulf's Children
Art Technology Group	foundationPlace	Cambridge, Massachusetts
Amazon.com	subsidiary	Alexa Internet
Intuit Inc.	foundationPlace	Mountain View
Ferdinand von Mueller	deathPlace	Melbourne
Joaquim Rafael Branco	office	São Tomé and Príncipe
The Right Stuff (film)	starring	Fred Ward
David Lee (basketball)	team	Memphis Grizzlies
Mindscape Group	foundationPlace	Bristol
Lina Romay	spouse	Milind Soman
Anneli Jäätteenmäki	office	Canada
Leonid Kuchma	office	Ukraine
Fujitsu	foundationPlace	Seattle
Vladimir Putin	office	Russia
Harold Urey	award	Nobel Prize in Literature
Camp Rock	starring	Charles Dance
Six Apart	foundationPlace	Provo
Eisaku Satō	office	Japan
Laurent Fabius	office	France
A. E. van Vogt	author	The World of Null-A
Kwame Brown	team	Washington Wizards
Carmine Giovinazzo	spouse	Vanessa Marcil
Ron Paul	birthPlace	Pittsburgh
Asa Gray	deathPlace	Santa Monica, California
Ron Paul	birthPlace	Boston
Kwame Brown	team	Memphis Grizzlies
Menachem Begin	office	Iraq
Macecraft Software	foundationPlace	Helsinki
Alastair Reynolds	author	The Glass Bead Game
Nils Gustaf Dalén	award	Nobel Prize in Literature
Eyvind Johnson	award	Nobel Prize in Literature
Waylon Jennings	deathPlace	Oxford
Anders Fogh Rasmussen	office	Bulgaria
Eric Flint	author	Dragonsblood
Hyperion Entertainment	foundationPlace	Norway
Craig Conway	spouse	Jill Halfpenny
IntelliCorp	foundationPlace	Menlo Park
Paul Haarhuis	birthPlace	Eindhoven
Verizon Communications	subsidiary	NYNEX
Dan Brown	author	Digital Fortress
Shaquille O'Neal	birthPlace	Newark, New Jersey
Dan Simmons	author	The Fall of Hyperion
Ricky Groves	spouse	Hannah Waterman
Hussein Onn	office	Malaysia
Robert Hofstadter	award	Nobel Prize in Literature
International Atomic Energy Agency	award	Nobel Prize in Literature
Anneli Jäätteenmäki	office	Belgium
Andrew Schally	award	Nobel Prize in Physiology or Medicine
Pedro Pires	office	Norway
Saddam Hussein	deathPlace	New York City
Saddam Hussein	deathPlace	Baghdad
Dean Martin	birthPlace	Steubenville, Ohio
Charles Stross	author	Encounter with Tiber
The Right Stuff (film)	starring	Chiwetel Ejiofor
Kevin Federline	spouse	Britney Spears
Guy Verhofstadt	office	Belgium
Frank Zappa	birthPlace	Brooklyn
Ella Fitzgerald	deathPlace	Beverly Hills, California
Stephen Dunham	spouse	Avril Lavigne
Glenn Ong	spouse	Jamie Yeo
Nas	birthPlace	New York City
Paul-Henri Spaak	office	Belgium
Softdisk	foundationPlace	Shreveport
Brian McFadden	spouse	Delta Goodrem
Knut Hamsun	award	Nobel Prize in Literature
Tanith Lee	author	Dreams of Dark and Light: The Great Short Fiction of Tanith Lee
Arthur C. Clarke	deathPlace	Colombo
Rudolf Christoph Eucken	award	Nobel Prize in Literature
William McKinley	deathPlace	Los Angeles
Orson Scott Card	author	Macrolife
Doris Lessing	award	Nobel Prize in Literature
Ai Sugiyama	birthPlace	Banja Luka
Tori Spelling	spouse	Eva Longoria
SNP Schneider-Neureither & Partner AG	foundationPlace	Ottawa
Ai Sugiyama	birthPlace	Yokohama
Christina Milian	spouse	Russell Brand
Burt Lancaster	deathPlace	Rawalpindi
Ayn Rand	author	Anthem
Google	foundationPlace	Brno
Kelly Clarkson	birthPlace	Fort Worth, Texas
Elfriede Jelinek	award	Nobel Prize in Literature
Michail Aleksandrovich Sholokhov	award	Nobel Prize in Physics
Piers Anthony	author	Battlefield Earth
Richard Jefferson	team	Golden State Warriors
Al Jefferson	team	Memphis Grizzlies
Steve Blake	team	Philadelphia 76ers
Ascend Communications	subsidiary	Ascend Communications
Salvatore Quasimodo	award	Nobel Prize in Literature
Ella Fitzgerald	birthPlace	Newport News, Virginia
Jesse James	spouse	Sandra Bullock
Eliot Kennedy	spouse	Natalie Mendoza
Erik Axel Karlfeldt	award	Nobel Prize in Physics
Ed Wood (film)	starring	Michael Lerner (actor)
Constantine Samuel Rafinesque	deathPlace	Philadelphia
J. R. Smith	team	Denver Nuggets
ESRI	foundationPlace	Redlands
A Hard Day's Night (film)	starring	Lisa Spoonhauer
Camp Rock	starring	Morgan Freeman
Angoss	foundationPlace	Ontario
Rogue Wave Software	foundationPlace	Salt Lake City
The Right Stuff (film)	starring	Kim Stanley
The Right Stuff (film)	starring	Veronica Cartwright
Monta Ellis	team	Denver Nuggets
Kishore Kumar	deathPlace	Mumbai
Gentry Lee	author	Meeting in Infinity
Kwame Brown	team	Minnesota Timberwolves
Arthur Wellesley, 1st Duke of Wellington	birthPlace	Minneapolis
Johannes Vilhelm Jensen	award	Nobel Prize in Literature
Jude Law	spouse	Sienna Miller
Andrei Kirilenko	team	Minnesota Timberwolves
Hubert Humphrey	deathPlace	Setagaya, Tokyo
Helmi Technologies	foundationPlace	Menlo Park
James Stewart	deathPlace	Englewood, New Jersey
Robert Andrews Millikan	award	Nobel Prize in Literature
Tony Parker	spouse	Eva Longoria
Leon Lai	spouse	Gaile Lok
Christina Milian	spouse	The-Dream
Epic Systems	foundationPlace	Madison
William S. Burroughs	deathPlace	Dayton, Tennessee
Cara Black	birthPlace	Detroit
Douglas Adams	deathPlace	Nashville, Tennessee
Roger MacBride Allen	author	Beowulf's Children
Habib Bourguiba	office	Kingdom of Tunisia
eBay	subsidiary	StumbleUpon
Derek Fisher	team	Charlotte Bobcats
Tony Rothman	author	Flare
Nazr Mohammed	team	New Orleans Hornets
2012 (film)	starring	Shreyas Talpade
Dom Mintoff	office	Malta
Max Mirnyi	birthPlace	Grand Rapids, Minnesota
Kenzaburō Ōe	award	Nobel Prize in Physics
Piers Anthony	author	Time's Eye
Austin Powers: The Spy Who Shagged Me	starring	Johnny Depp
Mad Max	starring	Joanne Samuel
Sammy Davis, Jr.	deathPlace	Los Angeles
Paul Haarhuis	birthPlace	Hope, Arkansas
Karel Čapek	author	The Absolute at Large
Diether Ocampo	spouse	The-Dream
Clerks	starring	Lisa Spoonhauer
Karl Adolph Gjellerup	award	Nobel Prize in Physics
Jack White	spouse	Lisa Faulkner
Max Mirnyi	birthPlace	Minsk
A Hard Day's Night (film)	starring	John Lennon
Jean Chrétien	office	Cameroon
Felipe González	office	Spain
Yoshirō Mori	office	Japan
Frédéric Mistral	award	Nobel Prize in Literature
Gerald Ford	birthPlace	Omaha, Nebraska
Siemens	subsidiary	Quigo
Love Actually	starring	Kirron Kher
Laura Wade	spouse	Ryan Reynolds
Apple Inc.	foundationPlace	California
Barend Biesheuvel	office	Tanganyika
Edward Scissorhands	starring	Annie Potts
H. P. Lovecraft	birthPlace	Atlanta
Walter Scott	birthPlace	Edinburgh
Kurt Cobain	deathPlace	New York City
Robert Mitchum	deathPlace	Chennai
Albert Abraham Michelson	award	Nobel Prize in Literature
Harry S. Truman	birthPlace	Lamar, Missouri
Ivan Ljubičić	birthPlace	Banja Luka
Woody Guthrie	deathPlace	New York City
Ringo Starr	birthPlace	Brisbane
Aleksandr Solzhenitsyn	award	Nobel Prize in Literature
Zulfikar Ali Bhutto	deathPlace	Rawalpindi
Hewlett-Packard	subsidiary	Siebel Systems
Raymond Felton	team	Detroit Pistons
G Data	foundationPlace	Sunnyvale
Carlos Delfino	team	Miami Heat
Shaun Livingston	team	Philadelphia 76ers
AOL	subsidiary	Quigo
Svante Arrhenius	award	Nobel Prize in Literature
Charles Mingus	deathPlace	Springfield, Missouri
Eugene O'Neill	deathPlace	Nashville, Tennessee
Nicholas Tse	spouse	Cecilia Cheung
Love Actually	starring	Keira Knightley
Aarón Díaz	spouse	Jason Biggs
Camp Rock	starring	Austin O'Brien
Karl von Frisch	award	Nobel Peace Prize
Charles Stross	author	The Clan Corporate
Clerks	starring	Norman Rossington
Steve Blake	team	Detroit Pistons
Poppy Montgomery	spouse	Adam Kaufman
Nils Gustaf Dalén	award	Nobel Prize in Literature
George Carlin	deathPlace	Memphis, Tennessee
Robin Williams	birthPlace	Fort Lauderdale, Florida
Catherine Crook de Camp	author	Schismatrix
Redxpress	foundationPlace	California
Natasha Zvereva	birthPlace	Minsk
Clifford D. Simak	author	Way Station
Guy Verhofstadt	office	Greece
Andrew Bynum	team	Portland Trail Blazers
Buzz Aldrin	author	Encounter with Tiber
Richard Jefferson	team	Memphis Grizzlies
Manuel Azaña	office	Egypt
Intuit Canada	foundationPlace	Mogilev
Ed Wood (film)	starring	Johnny Depp
Kill Bill	starring	Sam Shepard
Wole Soyinka	award	Nobel Prize in Literature
Edward Scissorhands	starring	Rowan Atkinson
Eugene Byrne	author	Back in the USSA
Seamus Heaney	award	Nobel Prize in Literature
John Sparrow David Thompson	office	Bahamas
Erik Axel Karlfeldt	award	Nobel Prize in Physiology or Medicine
High School Musical 2	starring	Julie Dreyfus
Clerks	starring	Jeff Anderson
Anton Rop	office	France
Last Action Hero	starring	Jean Reno
Jacques Chirac	office	Japan
Enrico Fermi	award	Nobel Prize in Physics
Iain Banks	author	I Will Fear No Evil
Abdul Razak Hussein	office	United Kingdom
Zöe Salmon	spouse	Ezel Akay
Tayshaun Prince	team	Detroit Pistons
QlikTech	foundationPlace	Texas
Dries van Agt	office	Netherlands
J. J. Redick	team	Golden State Warriors
Julius Axelrod	award	Nobel Prize in Literature
Woodrow Wilson	birthPlace	Adelaide
Ghostbusters II	starring	Michael Madsen
Piet de Jong	office	United Kingdom
Saul Williams	spouse	Charlene Choi
Oscar Peterson	deathPlace	Mississauga
Carmelo Anthony	team	Denver Nuggets
Mean Girls	starring	Rachel McAdams
C. S. Lewis	deathPlace	Oxford
Oracle Corporation	foundationPlace	Canonsburg
MontaVista	foundationPlace	Sunnyvale
Matti Vanhanen	office	Finland
Mike Bryan	birthPlace	Camarillo, California
Rasheed Wallace	team	Denver Nuggets
Mike Dunleavy, Jr.	team	Portland Trail Blazers
Jamal Crawford	team	Denver Nuggets
H. G. Wells	author	The Bladerunner
Shaun Livingston	team	Minnesota Timberwolves
Gerald Green	team	Orlando Magic
Ella Fitzgerald	birthPlace	Gary, Indiana
Billie Holiday	deathPlace	New York City
Pamela Anderson	spouse	Kerr Smith
Silicon Graphics, Inc.	foundationPlace	California
Jay-Z	birthPlace	Braintree, Massachusetts
Jason Terry	team	Utah Jazz
Isaac Bashevis Singer	award	Nobel Prize in Physics
Oscar Peterson	deathPlace	Ottawa
Mark Eyskens	office	Czech Republic
Martell Webster	team	Portland Trail Blazers
Jemima Khan	spouse	James Franco
Shane Battier	team	Sacramento Kings
John C. Frémont	deathPlace	Los Angeles
Shaun Livingston	team	Houston Rockets
Mikuláš Dzurinda	office	Fiji
Erik Axel Karlfeldt	award	Nobel Prize in Literature
John Coltrane	birthPlace	Hamlet, North Carolina
Edward Heath	office	United Kingdom
Chris Bosh	team	Toronto Raptors
Dolly Parton	birthPlace	Sevierville, Tennessee
Citrix Systems	subsidiary	AppForge
Kelis	spouse	Nas
Jigme Thinley	office	Chad
Derek Fisher	team	Oklahoma City Thunder
Harold Urey	award	Nobel Prize in Chemistry
Mean Girls	starring	Lindsay Lohan
Zach Randolph	team	Portland Trail Blazers
Kobe Bryant	birthPlace	Philadelphia
Elton Brand	team	Philadelphia 76ers
Adobe Systems	foundationPlace	Mountain View
The Aristocats	starring	Heather Graham
Marvin Williams	team	Washington Wizards
John Diefenbaker	deathPlace	Philadelphia
Frank Lloyd Wright	birthPlace	Knoxville, Tennessee
Sully Prudhomme	award	Nobel Prize in Literature
Anders Fogh Rasmussen	office	São Tomé and Príncipe
Chandrika Kumaratunga	office	Sri Lanka
Ray Charles	deathPlace	Beverly Hills, California
Tupac Shakur	birthPlace	New York City
Dizzy Gillespie	deathPlace	Englewood, New Jersey
Odysseas Elytis	award	Nobel Prize in Literature
Kevin Garnett	team	Washington Wizards
Godzilla (1998 film)	starring	Arjun Rampal
Mitt Romney	birthPlace	Detroit
Predator (film)	starring	Kim Stanley
Neil Young	birthPlace	Kingsland, Arkansas
Gardner Dozois	author	Strangers
Godzilla (1998 film)	starring	Maria Pitillo
José Ramos-Horta	office	Japan
L. Sprague de Camp	deathPlace	Beverly Hills, California
Martina Navratilova	birthPlace	Edinburgh
Alan E. Nourse	author	The Absolute at Large
Siebel Systems	foundationPlace	Israel
Sybase	foundationPlace	Berkeley
Shaun Livingston	team	Washington Wizards
Orbital Sciences Corporation	subsidiary	Magellan Navigation
Richard Rodgers	deathPlace	Palm Desert, California
IFS AB	foundationPlace	Linköping
William Ewart Gladstone	birthPlace	Liverpool
Gregory Keyes	author	Make Room! Make Room!
Thomas Thurston Thomas	author	The Sparrow
Raymond Poincaré	office	France
Love Actually	starring	Dan Aykroyd
Wangari Maathai	award	Nobel Peace Prize
K. W. Jeter	author	Beggars in Spain
Rasheed Wallace	team	Toronto Raptors
Kwame Nkrumah	office	Ghana
Harry Martinson	award	Nobel Peace Prize
Steve Blake	team	Los Angeles Clippers
Aretha Franklin	birthPlace	Kingston, Ontario
The Aristocats	starring	Amanda Seyfried
Hyperion Entertainment	foundationPlace	Cupertino
Kenyon Martin	team	Denver Nuggets
Naguib Mahfouz	award	Nobel Prize in Literature
Albert Einstein	award	Nobel Prize in Literature
Tomiichi Murayama	office	Japan
NBCUniversal	subsidiary	iVillage
Dave Wolverton	author	The Courtship of Princess Leia
Compaq	subsidiary	Digital Equipment Corporation
Glenn Ong	spouse	Daniel Craig
Wim Kok	office	Netherlands
Ryutaro Hashimoto	office	Finland
